2, -1.54, -5.177, -1
2, 6.17, -5.177, -1
4, 11.44, -4.9, -1
2, 17.25, -5.177, -1
3, 24.16, -4.67, -1
2, 40.33, -5.177, -1
3, 52.53, -4.67, -1
4, 57.61, -4.9, -1
2, 62.56, -5.177, -1
4, 68.72, -4.9, -1
3, 74.35, -4.67, -1
2, 79.83, -5.177, -1
2, 86.62, -5.177, 1
2, 94.44, -5.177, -1
3, 107.35, -4.67, -1
2, 139.8, -5.177, -1
3, 143.62, -4.67, -1
4, 147.83, -4.9, -1
2, 151.26, -5.177, -1
2, 161.33, -5.177, -1
2, 168.56, -5.177, -1
3, 172.99, -4.67, -1
2, 177.6, -5.177, -1
2, 192.93, -7.182, -1
2, 201.98, -7.182, -1
4, 209.39, -6.9, -1
3, 217.48, -6.701, -1
