0, 19.31, -1.621, -1
0, 32.23, -1.621, -1
0, 55, 1.376, -1
0, 59, 1.376, -1
0, 66, 4.375, -1
1, 72, 4.375, -1
0, 82.11, 4.564, -1
1, 83, 1.376, -1
1, 88.75, -1.625, -1
0, 78.59, -5.624, 1
0, 81.04, -5.624, 1
0, 93.44, -9.627, -1
1, 97.73, -9.627, -1
0, 107.49, -9.627, -1
0, 118.25, -7.624, -1
0, 159.5, -11.624, -1
0, 169.64, -11.686, -1
0, 172.75, -11.686, -1
1, 172.7, -13.6861, 1
0, 183.65, -17.623, -1
1, 187.06, -17.623, -1
0, 199.4, -17.623, -1
1, 201.76, -17.623, -1
0, 197.18, -12.188, -1
1, 201.02, -12.188, -1
0, 210.9, -10.625, -1
1, 215.06, -10.625, -1
1, 218.63, -10.625, -1
